[22:55:15] [plugins/mysql] cache_insert_id: no active cache
[22:55:40] [plugins/mysql] cache_get_value_name: no active cache
[22:55:40] [plugins/mysql] cache_get_row_count: no active cache
[22:55:43] [plugins/mysql] cache_get_value_name: no active cache
[22:55:43] [plugins/mysql] cache_get_row_count: no active cache
[22:56:54] [plugins/mysql] cache_get_value_name: no active cache
[22:56:54] [plugins/mysql] cache_get_row_count: no active cache
[22:57:33] [plugins/mysql] cache_get_value_name: no active cache
[22:57:33] [plugins/mysql] cache_get_row_count: no active cache
[23:09:16] [plugins/mysql] cache_get_value_name: no active cache
[23:09:16] [plugins/mysql] cache_get_row_count: no active cache
[23:09:19] [plugins/mysql] cache_get_value_name: no active cache
[23:09:19] [plugins/mysql] cache_get_row_count: no active cache
