[00:06:37] [INFO] received Windows console close event; shutting log-core down
[18:17:00] [INFO] received Windows console close event; shutting log-core down
[18:28:32] [INFO] received Windows console close event; shutting log-core down
[18:28:39] [INFO] received Windows console close event; shutting log-core down
[18:29:11] [INFO] received Windows console close event; shutting log-core down
[18:30:11] [INFO] received Windows console close event; shutting log-core down
[18:30:30] [INFO] received Windows console close event; shutting log-core down
[18:31:39] [INFO] received Windows console close event; shutting log-core down
[18:35:57] [INFO] received Windows console close event; shutting log-core down
[18:45:01] [INFO] received Windows console close event; shutting log-core down
[18:46:17] [INFO] received Windows console close event; shutting log-core down
[22:54:27] [INFO] received Windows console close event; shutting log-core down
